Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Community tags OPI ID,Community Tag category
High-rise district,high-rise-district,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cb9d92987bd19d61f102,false,false,Mon Dec 22 2025 22:52:13 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Community Type & Feel
Hospitals nearby,hospitals-nearby,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0a778a1ff89eeb55c21b,false,false,Tue Dec 23 2025 03:20:23 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Amenities & Convenience
International schools nearby,international-schools-nearby,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0b58a54b9697aaa28ae5,false,false,Tue Dec 23 2025 03:24:08 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Family & Education
Investor favourite,investor-favourite,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0c501d97de810c6e4741,false,false,Tue Dec 23 2025 03:28:16 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Investment & Buyer Appeal
Investors,investors,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0cb43c60483ad363c75e,false,false,Tue Dec 23 2025 03:29:56 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Buyer Profile Tags
Island living,island-living,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cb5c22749887bc66a1f4,false,false,Mon Dec 22 2025 22:51:08 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Location & Geography
Lagoon community,lagoon-community,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cb7602fb8394e53770a6,false,false,Mon Dec 22 2025 22:51:34 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Location & Geography
Lifestyle destination,lifestyle-destination,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cbb739a6e7868ada5eba,false,false,Mon Dec 22 2025 22:52:39 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Community Type & Feel
Long-term rental appeal,long-term-rental-appeal,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0c47111626e48f08c7b3,false,false,Tue Dec 23 2025 03:28:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Investment & Buyer Appeal
Low-rise community,low-rise-community,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cba3377bfce5f6c94225,false,false,Mon Dec 22 2025 22:52:19 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Community Type & Feel
